Unnamed: 0,player,position,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty
1,Bijan Robinson,RB,ATL,301.0,18.9,2.25,280.0,333.0,169.0,176.0,172.0,1,2.0,1.0,1,1,3.62,54.7,10.0
2,Saquon Barkley,RB,PHI,298.0,11.2,8.81,280.0,311.0,166.0,176.0,150.0,2,1.0,2.0,2,1,5.67,52.7,1.0
3,Jahmyr Gibbs,RB,DET,290.0,13.2,28.6,272.0,309.0,158.0,168.0,148.0,3,3.0,3.0,3,2,6.81,47.6,1.0
4,Ja'Marr Chase,WR,CIN,298.0,21.5,33.0,272.0,328.0,134.0,136.0,129.0,4,4.0,5.0,1,1,2.9,56.5,15.0
5,Derrick Henry,RB,BAL,261.0,24.0,0.24,222.0,299.0,129.0,117.0,138.0,5,7.0,4.0,4,2,13.8,46.7,30.0
6,Devon Achane,RB,MIA,261.0,13.4,2.34,234.0,274.0,129.0,129.0,113.0,6,5.0,10.0,5,3,16.1,35.8,3.0
7,Christian McCaffrey,RB,SF,258.0,21.2,8.64,231.0,288.0,126.0,127.0,127.0,7,6.0,6.0,6,3,12.2,50.5,18.0
8,Josh Jacobs,RB,GB,250.0,22.0,6.0,214.0,278.0,118.0,109.0,117.0,8,8.0,8.0,7,3,19.9,36.6,24.0
9,Ashton Jeanty,RB,LVR,244.0,22.4,6.86,203.0,271.0,112.0,98.4,110.0,9,9.0,11.0,8,4,11.7,67.4,27.0
10,Jonathan Taylor,RB,IND,237.0,30.8,1.29,198.0,282.0,105.0,93.8,121.0,10,13.0,7.0,9,4,18.4,45.3,63.0
11,Bucky Irving,RB,TB,236.0,24.6,1.37,195.0,264.0,104.0,90.3,102.0,11,14.0,14.0,10,4,36.3,23.3,35.0
12,Kyren Williams,RB,LAR,234.0,26.5,0.0827,190.0,265.0,102.0,85.4,104.0,12,20.0,13.0,11,4,21.7,36.5,45.0
13,Chase Brown,RB,CIN,234.0,25.1,16.0,201.0,266.0,102.0,96.6,104.0,13,11.0,12.0,12,5,41.0,25.2,39.0
14,Justin Jefferson,WR,MIN,265.0,26.0,9.92,233.0,312.0,101.0,97.4,113.0,14,10.0,9.0,2,1,6.79,54.9,35.0
15,CeeDee Lamb,WR,DAL,255.0,18.4,6.22,222.0,275.0,90.6,85.8,76.8,15,19.0,25.0,3,1,7.07,54.1,4.0
16,Brock Bowers,TE,LVR,206.0,10.6,9.17,194.0,222.0,89.1,96.0,81.9,16,12.0,21.0,1,1,37.6,24.8,3.0
17,Josh Allen,QB,BUF,362.0,21.5,1.19,329.0,387.0,88.6,71.1,90.4,17,29.0,17.0,1,1,18.1,36.2,9.0
18,Lamar Jackson,QB,BAL,360.0,19.7,16.8,334.0,390.0,87.4,76.0,92.8,18,23.0,16.0,2,2,18.6,32.4,6.0
19,James Cook,RB,BUF,218.0,26.5,3.84,177.0,249.0,86.2,72.8,88.0,19,27.0,18.0,13,5,33.4,22.3,51.0
20,Puka Nacua,WR,LAR,249.0,17.8,2.67,226.0,273.0,84.4,89.7,74.9,20,16.0,29.0,4,1,14.8,41.2,18.0
21,Alvin Kamara,RB,NO,214.0,23.7,1.06,180.0,243.0,82.3,75.8,81.8,21,24.0,22.0,14,5,42.8,24.1,37.0
22,Malik Nabers,WR,NYG,246.0,26.9,3.89,223.0,297.0,81.7,86.8,98.7,22,18.0,15.0,5,2,19.9,33.1,47.0
23,Breece Hall,RB,NYJ,213.0,20.5,5.05,192.0,246.0,81.3,87.4,84.5,23,17.0,19.0,15,5,32.4,32.6,25.0
24,Trey McBride,TE,ARI,196.0,7.2,6.72,188.0,206.0,79.9,90.0,66.1,24,15.0,32.0,2,1,36.6,24.2,1.0
25,Amon-Ra St. Brown,WR,DET,242.0,16.2,2.24,221.0,263.0,77.8,85.2,64.3,25,21.0,35.0,6,2,13.9,50.5,11.0
26,Kenneth Walker III,RB,SEA,208.0,21.0,3.1,177.0,238.0,76.2,72.3,76.9,26,28.0,24.0,16,5,41.2,21.8,17.0
27,Nico Collins,WR,HOU,240.0,16.4,2.28,219.0,263.0,75.6,83.1,64.4,27,22.0,34.0,7,2,18.9,37.5,7.0
28,Brian Thomas Jr.,WR,JAC,238.0,25.2,15.2,204.0,281.0,73.3,68.4,82.4,28,31.0,20.0,8,3,31.3,26.9,43.0
29,George Kittle,TE,SF,190.0,15.3,32.7,171.0,213.0,73.2,73.3,72.7,29,26.0,30.0,3,2,42.7,20.8,26.0
30,Chuba Hubbard,RB,CAR,205.0,30.0,2.32,153.0,237.0,73.1,48.3,76.1,30,44.0,26.0,17,6,57.9,20.5,65.0
31,James Conner,RB,ARI,203.0,19.4,2.77,178.0,231.0,70.8,73.4,69.4,31,25.0,31.0,18,6,50.9,20.1,13.0
32,Jayden Daniels,QB,WAS,344.0,20.1,5.27,322.0,374.0,70.6,63.4,77.2,32,34.0,23.0,3,2,35.0,22.0,11.0
33,Omarion Hampton,RB,LAC,200.0,30.3,7.66,151.0,237.0,68.0,46.9,75.3,33,45.0,28.0,19,6,41.4,44.1,73.0
34,Jalen Hurts,QB,PHI,338.0,9.93,12.8,326.0,353.0,65.4,68.2,56.2,34,32.0,36.0,4,3,30.0,26.0,1.0
35,D'Andre Swift,RB,CHI,192.0,25.2,8.57,162.0,237.0,60.4,57.9,75.5,35,37.0,27.0,20,7,63.3,15.6,52.0
36,Drake London,WR,ATL,222.0,15.0,1.69,205.0,247.0,58.1,69.1,48.7,36,30.0,40.0,9,3,24.6,32.6,3.0
37,A.J. Brown,WR,PHI,221.0,17.3,3.73,197.0,250.0,56.4,60.9,51.7,37,35.0,37.0,10,3,21.9,39.7,8.0
38,Tyreek Hill,WR,MIA,217.0,11.7,0.244,202.0,237.0,52.7,65.9,38.8,38,33.0,46.0,11,3,31.5,40.6,1.0
39,Joe Burrow,QB,CIN,326.0,18.0,24.1,300.0,346.0,52.5,42.0,49.4,39,51.0,38.0,5,4,31.7,22.2,3.0
