"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Saquon Barkley","RB","PHI",278,11.5,7.49,264,295,165,180,154,1,1,2,1,"1",5.67,52.7,1
"2","Bijan Robinson","RB","ATL",271,17.3,10,251,301,157,167,159,2,2,1,2,"1",3.62,54.7,8
"3","Jahmyr Gibbs","RB","DET",261,13.8,8.41,244,283,147,159,142,3,3,4,3,"2",6.81,47.6,1
"4","Derrick Henry","RB","BAL",252,22.7,22.2,217,290,139,133,149,4,4,3,4,"3",13.8,46.7,27
"5","Josh Jacobs","RB","GB",230,20.2,3.62,197,255,117,113,114,5,7,6,5,"3",19.9,36.6,24
"6","Christian McCaffrey","RB","SF",227,17.3,1.36,203,246,113,119,105,6,5,9,6,"3",12.2,50.5,15
"7","Devon Achane","RB","MIA",225,12.5,0.887,200,235,112,116,93.3,7,6,13,7,"3",16.1,35.8,3
"8","Jonathan Taylor","RB","IND",224,29.8,4.69,184,267,111,100,126,8,10,5,8,"4",18.4,45.3,75
"9","Ja'Marr Chase","WR","CIN",238,18.9,26,215,265,110,111,107,9,8,7,1,"1",2.9,56.5,18
"10","Ashton Jeanty","RB","LVR",220,18.4,2.48,185,242,106,101,101,10,9,10,9,"4",11.7,67.4,20
"11","Kyren Williams","RB","LAR",217,25.7,5.07,172,246,104,88.1,105,11,13,8,10,"4",21.7,36.5,55
"12","Bucky Irving","RB","TB",212,22.3,6.66,175,238,98.5,91.2,97.1,12,12,12,11,"4",36.3,23.3,37
"13","Chase Brown","RB","CIN",205,21.9,4.33,180,233,91.9,95.7,92.2,13,11,15,12,"5",41,25.2,34
"14","Josh Allen","QB","BUF",362,21.5,1.19,329,387,88.6,71.1,90.4,14,21,16,1,"1",18.1,36.2,9
"15","James Cook","RB","BUF",201,24.5,13.7,164,231,87.5,80.2,89.3,15,16,17,13,"5",33.4,22.3,49
"16","Lamar Jackson","QB","BAL",360,19.7,16.8,334,390,87.4,76,92.8,16,18,14,2,"2",18.6,32.4,6
"17","Justin Jefferson","WR","MIN",212,22.7,13.5,187,255,83.6,82.9,97.3,17,15,11,2,"1",6.79,54.9,43
"18","Breece Hall","RB","NYJ",187,16.4,2.38,170,214,73.8,85.8,72.5,18,14,22,14,"6",32.4,32.6,13
"19","Chuba Hubbard","RB","CAR",185,27.1,0.102,137,213,71.5,52.8,72.1,19,42,23,15,"6",57.9,20.5,65
"20","Kenneth Walker III","RB","SEA",185,17.8,1.8,161,213,71.3,76.8,71.4,20,17,25,16,"6",41.2,21.8,14
